FullName,PlayerName,Affiliation,Champions League,League,League Nation,Jersey,Birth Date,Age,Height (meters),Position,Foot,Agent,Agent Yes/No,PlayerSponsor,Nationality,Nation/League,Continent,Games Played,2018/19 Games Played,Market Value (Euros),Accumulated Transfer Sums (Euros),Highest Market Value (Euros),Highest Market Value Date,Years Since Peak,NationalTeamCaps,MostRecentInjury
Kylian Sanmi Mbappé Lottin,Kylian Mbappe,Paris SG,Yes,Ligue 1,France,#7,12/20/1998,20,1.78,Forward ,right,Relatives,Yes,Nike,France,Yes,UEFA,5,29,200000000,145000000,200000000,12/17/2018,0,33,NA
Neymar da Silva Santos Júnior,Neymar,Paris SG,Yes,Ligue 1,France,#10,2/5/1992,27,1.75,Forward ,right,Relatives,Yes,Nike,Brazil,No,CONMEBOL,4,17,180000000,310200000,180000000,1/24/2018,0,102,Hamstring Injury: Return unknown
,Mohamed Salah,Liverpool,Yes,Premier League,England,#11,6/15/1992,27,1.75,Forward ,left,SPOCS Global sports ...,Yes,adidas,Egypt,No,CAF,6,38,150000000,81000000,150000000,5/28/2018,0,67,NA
Eden Michael Hazard,Eden Hazard,Real Madrid,Yes,LaLiga,Spain,#7,1/7/1991,28,1.75,Forward ,both,Relatives,Yes,Nike,Belgium,No,UEFA,1,37,150000000,135000000,150000000,10/17/2018,0,106,NA
Lionel Andrés Messi Cuccitini,Lionel Messi,FC Barcelona,Yes,LaLiga,Spain,#10,6/24/1987,32,1.70,Forward ,left,Relatives,Yes,adidas,Argentina,No,CONMEBOL,8,34,150000000,0,180000000,1/1/2018,1,138,NA
Harry Edward Kane,Harry Kane,Spurs,Yes,Premier League,England,#10,7/28/1993,26,1.88,Forward ,right,CK66,Yes,Nike,England,Yes,UEFA,6,28,150000000,0,150000000,5/28/2018,0,43,NA
Raheem Shaquille Sterling,Raheem Sterling,Man City,Yes,Premier League,England,#7,12/8/1994,24,1.70,Forward ,right,Colossal Sports ...,Yes,Nike,England,Yes,UEFA,7,34,140000000,64400000,140000000,6/13/2019,0,55,NA
,Antoine Griezmann,FC Barcelona,Yes,LaLiga,Spain,#17,3/21/1991,28,1.76,Forward ,left,Relatives,Yes,Puma,France,No,UEFA,4,37,130000000,174000000,150000000,10/31/2018,1,78,NA
,Kevin De Bruyne,Man City,Yes,Premier League,England,#17,6/28/1991,28,1.81,Midfielder ,right,J&S International,Yes,Nike,Belgium,No,UEFA,2,19,130000000,106450000,150000000,5/28/2018,1,74,NA
,Sadio Mane,Liverpool,Yes,Premier League,England,#10,4/10/1992,27,1.74,Forward ,right,arena11 sports group,Yes,Other,Senegal,No,CAF,7,36,120000000,68200000,120000000,6/13/2019,0,61,NA
,Virgil van Dijk,Liverpool,Yes,Premier League,England,#4,7/8/1991,28,1.93,Defender ,right,NA,No,Nike,Netherlands,No,UEFA,1,38,100000000,103350000,100000000,9/12/2019,0,32,NA
,Jan Oblak,Atletico Madrid,Yes,LaLiga,Spain,#13,1/7/1993,26,1.88,Goalkeeper,right,Miha Mlakar,Yes,Puma,Slovenia,No,UEFA,8,37,100000000,17700000,100000000,6/11/2019,0,28,NA
,N'Golo Kante,Chelsea,Yes,Premier League,England,#7,3/29/1991,28,1.68,Midfielder ,right,not clarified,Yes,adidas,France,No,UEFA,2,36,100000000,44800000,100000000,12/19/2018,0,38,NA
Bernardo Mota Veiga de Carvalho e Silva,Bernardo Silva,Man City,Yes,Premier League,England,#20,8/10/1994,25,1.73,Forward ,left,Gestifute,Yes,adidas,Portugal,No,UEFA,5,36,100000000,65750000,100000000,6/13/2019,0,41,NA
Paul Labile Pogba,Paul Pogba,Man Utd,No,Premier League,England,#6,3/15/1993,26,1.91,Midfielder ,both,Mino Raiola,Yes,adidas,France,No,UEFA,0,35,100000000,105000000,100000000,6/13/2019,0,69,Ankle problems: Return unknown
Christian Dannemann Eriksen,Christian Eriksen,Spurs,Yes,Premier League,England,#23,2/14/1992,27,1.82,Midfielder ,both,The Talents ...,Yes,Nike,Denmark,No,UEFA,1,35,100000000,15000000,100000000,6/13/2019,0,95,NA
Jadon Malik Sancho,Jadon Sancho,Bor. Dortmund,Yes,Bundesliga,Germany,#7,3/25/2000,19,1.80,Forward ,right,Elite Project Group ...,Yes,Nike,England,No,UEFA,3,34,100000000,8010000,100000000,6/5/2019,0,11,NA
Leroy Aziz Sané,Leroy Sane,Man City,Yes,Premier League,England,#19,1/11/1996,23,1.84,Forward ,left,Relatives,Yes,Nike,Germany,No,UEFA,0,31,100000000,50500000,100000000,12/19/2018,0,21,"Cruciate Ligament Rupture: Return expected on Feb 4, 2020"
,Ousmane Dembele,FC Barcelona,Yes,LaLiga,Spain,#11,5/15/1997,22,1.78,Forward ,both,Relatives,Yes,Nike,France,No,UEFA,1,29,100000000,140000000,120000000,2/28/2019,0,21,NA
Joao Félix Sequeira,Joao Felix,Atletico Madrid,Yes,LaLiga,Spain,#7,11/10/1999,20,1.80,Forward ,both,Soccer ProMaster,Yes,adidas,Portugal,No,UEFA,2,26,100000000,126000000,100000000,9/10/2019,0,6,NA
,Marc-Andre ter Stegen,FC Barcelona,Yes,LaLiga,Spain,#1,4/30/1992,27,1.87,Goalkeeper,right,Coaches & More GmbH,Yes,adidas,Germany,No,UEFA,15,35,90000000,12000000,90000000,6/11/2019,0,24,NA
,Kai Havertz,Bay. Leverkusen,Yes,Bundesliga,Germany,#29,6/11/1999,20,1.89,Midfielder ,left,Spielerrat GmbH,Yes,Other,Germany,Yes,UEFA,2,34,90000000,0,90000000,6/5/2019,0,7,Torn Muscle Fibre: Return unknown
Philippe Coutinho Correia,Philippe Coutinho,Bayern Munich,Yes,Bundesliga,Germany,#10,6/12/1992,27,1.72,Midfielder ,right,Sports Invest UK ltd,Yes,Nike,Brazil,No,CONMEBOL,2,34,90000000,170300000,150000000,10/31/2018,1,61,NA
Saúl níguez Esclapez,Saul niguez,Atletico Madrid,Yes,LaLiga,Spain,#8,11/21/1994,25,1.84,Midfielder ,left,Stellar Football Ltd,Yes,Nike,Spain,Yes,UEFA,1,33,90000000,0,90000000,10/31/2018,0,19,"Yellow card suspension - LaLigauntil Nov 24, 2019"
Cristiano Ronaldo dos Santos Aveiro,Cristiano Ronaldo,Juventus,Yes,Serie A,Italy,#7,2/5/1985,34,1.87,Forward ,both,Gestifute,Yes,Nike,Portugal,No,UEFA,5,31,90000000,230000000,120000000,10/22/2014,5,164,NA
Bamidele Jermaine Alli,Dele Alli,Spurs,Yes,Premier League,England,#20,4/11/1996,23,1.88,Midfielder ,right,Base Soccer Agency ...,Yes,adidas,England,Yes,UEFA,2,25,90000000,6630000,100000000,5/28/2018,1,37,NA
,Frenkie de Jong,FC Barcelona,Yes,LaLiga,Spain,#21,5/12/1997,22,1.81,Midfielder ,right,HCM Sports ...,Yes,Nike,Netherlands,No,UEFA,1,31,85000000,85130000,85000000,6/12/2019,0,13,NA
Alisson Ramses Becker,Alisson,Liverpool,Yes,Premier League,England,#1,10/2/1992,27,1.91,Goalkeeper,right,NWS - Neis World ...,Yes,Nike,Brazil,No,CONMEBOL,4,38,80000000,70500000,80000000,6/13/2019,0,43,NA
Roberto Firmino Barbosa de Oliveira,Roberto Firmino,Liverpool,Yes,Premier League,England,#9,10/2/1991,28,1.81,Forward ,right,ROGON,Yes,adidas,Brazil,No,CONMEBOL,3,34,80000000,45000000,80000000,5/28/2018,0,43,NA
Rodrigo Hernández Cascante,Rodri,Man City,Yes,Premier League,England,#16,6/22/1996,23,1.91,Midfielder ,right,Pablo Barquero,Yes,Nike,Spain,No,UEFA,1,34,80000000,95000000,80000000,6/11/2019,0,11,NA
,Marcus Rashford,Man Utd,No,Premier League,England,#10,10/31/1997,22,1.85,Forward ,right,Relatives,Yes,Nike,England,Yes,UEFA,6,33,80000000,0,80000000,3/5/2019,0,36,NA
,Heung-min Son,Spurs,Yes,Premier League,England,#7,7/8/1992,27,1.84,Forward ,both,Sports United GmbH,Yes,adidas,"Korea, South",No,AFC,3,31,80000000,40000000,80000000,6/13/2019,0,89,NA
Trent John Alexander-Arnold,Trent Alexander-Arnold,Liverpool,Yes,Premier League,England,#66,10/7/1998,21,1.80,Defender ,right,Raps Management,Yes,Other,England,Yes,UEFA,1,29,80000000,0,80000000,6/13/2019,0,7,NA
,Nicolas Pepe,Arsenal,No,Premier League,England,#19,5/29/1995,24,1.83,Forward ,left,NA,No,Nike,Cote d'Ivoire,No,CAF,1,38,75000000,90000000,75000000,9/12/2019,0,11,NA
Aymeric Jean Louis Gerard Alphonse Laporte,Aymeric Laporte,Man City,Yes,Premier League,England,#14,5/27/1994,25,1.91,Defender ,left,not clarified,Yes,adidas,France,No,UEFA,0,35,75000000,65000000,75000000,6/13/2019,0,0,Knee Injury: Return unknown
Kalidou Koulibaly,Kalidou Koulibaly,SSC Napoli,Yes,Serie A,Italy,#26,6/20/1991,28,1.87,Defender ,right,LIAN SPORTS,Yes,Puma,Senegal,No,CAF,0,35,75000000,9050000,75000000,6/6/2019,0,33,NA
,Matthijs de Ligt,Juventus,Yes,Serie A,Italy,#4,8/12/1999,20,1.89,Defender ,right,Barry Hulshoff,Yes,adidas,Netherlands,No,UEFA,1,33,75000000,85500000,75000000,6/12/2019,0,21,NA
Romelu Menama Lukaku Bolingoli,Romelu Lukaku,Inter,Yes,Serie A,Italy,#9,5/13/1993,26,1.90,Forward ,left,P&P Sport ...,Yes,Puma,Belgium,No,UEFA,9,32,75000000,203560000,100000000,7/16/2018,1,84,NA
Paulo Bruno Dybala,Paulo Dybala,Juventus,Yes,Serie A,Italy,#10,11/15/1993,26,1.77,Forward ,left,Relatives,Yes,adidas,Argentina,No,CONMEBOL,3,30,75000000,51900000,110000000,6/7/2018,1,29,NA
Mauro Emanuel Icardi Rivero,Mauro Icardi,Paris SG,Yes,Ligue 1,France,#18,2/19/1993,26,1.81,Forward ,right,Relatives,Yes,Nike,Argentina,No,CONMEBOL,5,29,75000000,13330000,100000000,12/20/2018,1,8,NA
,Marco Verratti,Paris SG,Yes,Ligue 1,France,#6,11/5/1992,27,1.65,Midfielder ,right,Mino Raiola,Yes,Nike,Italy,No,UEFA,0,26,75000000,12000000,75000000,3/7/2019,0,36,NA
Ederson Santana de Moraes,Ederson,Man City,Yes,Premier League,England,#31,8/17/1993,26,1.88,Goalkeeper,left,Gestifute,Yes,Nike,Brazil,No,CONMEBOL,10,38,70000000,40500000,70000000,6/13/2019,0,7,Muscular problems: Return unknown
,Pierre-Emerick Aubameyang,Arsenal,No,Premier League,England,#14,6/18/1989,30,1.87,Forward ,right,Relatives,Yes,Nike,Gabon,No,CAF,8,36,70000000,78550000,75000000,5/28/2018,1,51,NA
,Alexandre Lacazette,Arsenal,No,Premier League,England,#9,5/28/1991,28,1.76,Forward ,right,score agencies,Yes,Nike,France,No,UEFA,2,35,70000000,53000000,70000000,6/13/2019,0,16,NA
Joshua Walter Kimmich,Joshua Kimmich,Bayern Munich,Yes,Bundesliga,Germany,#32,2/8/1995,24,1.76,Defender ,right,fair-sport GmbH,Yes,Nike,Germany,Yes,UEFA,0,34,70000000,10500000,70000000,6/5/2019,0,47,NA
Raphael Xavier Varane,Raphael Varane,Real Madrid,Yes,LaLiga,Spain,#5,4/25/1993,26,1.91,Defender ,right,Relatives,Yes,Nike,France,No,UEFA,0,32,70000000,10000000,80000000,7/15/2018,1,61,NA
Miralem Pjanic,Miralem Pjanic,Juventus,Yes,Serie A,Italy,#5,4/2/1990,29,1.80,Midfielder ,right,LIAN SPORTS,Yes,adidas,Bosnia-Herzegovina,No,UEFA,3,31,70000000,50500000,70000000,10/12/2018,0,92,NA
Jacob Harry Maguire,Harry Maguire,Man Utd,No,Premier League,England,#5,3/5/1993,26,1.94,Defender ,right,Triple S Sports,Yes,Nike,England,Yes,UEFA,0,31,70000000,103850000,70000000,9/12/2019,0,24,NA
Jorge Resurrección Merodio,Koke,Atletico Madrid,Yes,LaLiga,Spain,#6,1/8/1992,27,1.76,Midfielder ,right,Gesport Espizua SL,Yes,adidas,Spain,Yes,UEFA,1,30,70000000,0,70000000,1/1/2018,0,44,NA
Thiago Alcántara do Nascimento,Thiago,Bayern Munich,Yes,Bundesliga,Germany,#6,4/11/1991,28,1.74,Midfielder ,right,The Player ...,Yes,Nike,Spain,No,UEFA,0,30,70000000,25000000,70000000,3/6/2019,0,37,NA
Arthur Henrique Ramos de Oliveira Melo,Arthur,FC Barcelona,Yes,LaLiga,Spain,#8,8/12/1996,23,1.72,Midfielder ,right,Relatives,Yes,Nike,Brazil,No,CONMEBOL,2,30,70000000,31000000,70000000,6/11/2019,0,19,NA
Gabriel Fernando de Jesus,Gabriel Jesus,Man City,Yes,Premier League,England,#9,4/3/1997,22,1.75,Forward ,right,Cristiano Simões,Yes,adidas,Brazil,No,CONMEBOL,3,29,70000000,32000000,80000000,5/28/2018,1,39,NA
José María Giménez de Vargas,Jose Gimenez,Atletico Madrid,Yes,LaLiga,Spain,#2,1/20/1995,24,1.85,Defender ,right,VIDA 11,Yes,Nike,Uruguay,No,CONMEBOL,0,21,70000000,900000,70000000,2/28/2019,0,58,Muscle Injury: Return unknown
Vinícius José Paixao de Oliveira Júnior,Vinicius Junior,Real Madrid,Yes,LaLiga,Spain,#25,7/12/2000,19,1.76,Forward ,right,TFM Agency,Yes,Nike,Brazil,No,CONMEBOL,1,18,70000000,45000000,70000000,2/28/2019,0,1,NA
